title,rating,review,date
Got some NMDs. Very smooth,5,I like GOAT and there way of operation.,2017-09-12T01:23:35Z
Ugh,2,This app has good shoes at the best deals but they lose orders very easily. It said my package was at my house when it was in Canada. Very annoying,2017-09-10T17:17:12Z
Needs to be a PRICE FILTER,4,"I love the app, but if I'm looking for sneakers under a specific price, it would be very helpful to have a filter for pricing. Other than that, I have no problems with the app.",2017-09-10T16:10:41Z
Need a price range,4,I see a lot of good sneakers and there's no problem with that.i just want to see a price range cause I have certain types of shoes that I have the money for but I barely find shoes in my price range but still a very good app,2017-09-10T03:58:45Z
Best place to get shoes _Ÿ™è_Ÿè__Ÿ”¥,5,This is why is called goat best place to get shoes all the ones that you want and you can trust them they will check before they send the shoe if it's authentic,2017-09-10T00:12:33Z
Alguien me dice si en esta app venden los tenis feca o no ?,2,Asen los envÃ_os estÃ¡ app ?,2017-09-08T20:03:09Z
Very disappointed,1,"This app not only sells shoes for $50-100 more, but orders also have to ship TWICE.. Once to the ""goat"" headquarters, and THEN to you. Speaking of which it's already been a week and the ""progress"" tracker has yet to ship to their headquarters. Don't wait longer than you have to, don't overpay and don't download the app.",2017-09-08T06:35:14Z
Perfect,5,Couldn't ask for a better place to buy shoes don't hesitate because you don't wanna get scammed because you will not,2017-09-06T01:58:18Z
Perfect,5,Awesome place to get sneakers and sell. Best app made for iPhone,2017-09-06T01:38:30Z
Scum bags,1,Don't buy from here I purchased a pair of Jordan 6 champagne they sent me the shoes they are real and new. The had a nasty scuff on the side and I never saw that when I contacted them they ignored me when I sent emails for days. Sent them a message on Instagram and Facebook ignored me. I have reported them to the better business bureau. They wanted to take out money and give me goat credit for the shoes when I wanted another pair size 10.5 with no damage or 100% refund to my payment method. This company is shady I'll never order from them again. If you don't believe me I'll send pictures through my Instagram @isaaclopezofficial,2017-09-05T22:33:01Z
Decent APP,3,"App works smooth.Customer support is where they lack in some places.The introductory offer for discount on a purchase within 15 days or so should be changed to just first purchase period.I missed my window due to being away for military training and emailed them about my situation, and never received a reply.overall like the title states, it's. Decent app and worth the download.",2017-09-05T14:18:44Z
Can't get my account verified to sell/purchase,1,It's been over a week and I have yet to receive an email verifying my account,2017-09-05T06:02:51Z
Hacker,1,The website stole my credit card info when I tried to make a purchase. Will never use again,2017-09-05T02:31:17Z
GREAT APP MUST GET,5,This is great for not getting scammed and getting shoes for cheap. Highly recommend,2017-09-03T22:11:55Z
Ppoopy,5,Great app for poopy,2017-09-03T03:29:13Z
Good butt....,4,It's really good but the pricing for shipping is insane!!!!,2017-09-02T17:12:26Z
Good,5,"Awesome and simple, good prices. But y'all need to fix some stuff",2017-09-01T23:34:08Z
Judge!,4,I already knew this app was gonna be good before evening opening it!,2017-09-01T23:12:01Z
Goat App - Recommended,5,"This app is a very good, fast, easy, and affordable way of getting your favorite sneakers anywhere anytime. Highly recommend this app if you are a (Sneaker Head) or just a collector in general. @GOAT pls recognize this comment for the soul purpose of the review intervention of the App Store research community guidelines thank you From:Emin.A                                   To: @GOAT",2017-08-31T05:46:54Z
Goat is truly the G.O.A.T _Ÿêê_Ÿ”¥,5,"Bought AF1s on August 26th and got them the 30th. Amazingly fast. Fast shipment, guaranteed authentic pairs, and a vast variety of heat. What more could you want?",2017-08-30T23:26:02Z
App crashes a lot,3,"I get notifications about price drops on shoes I am watching. When I tap the notification, it loads a blank screen in the app. Then when I click on ""new"" or ""used"" at the bottom, an error pops up and the app crashes. Seems to work fine otherwise though.",2017-08-30T05:37:43Z
I love this app but a few new features needed,4,"I really hope they add a price sorting feature and a feature for more ""types"" of shoes other than basketball, skating, and running",2017-08-30T00:49:33Z
Wow,5,Amazing shoes come in great condition,2017-08-29T04:49:21Z
